MODULE,LABEL,ADDRESS,ACCESS,UNITS,COMMENT
ENG_CALIBRATIONS,HEADER,00008000,c,Cal_ID_Record,Use this cal to identify the engine calibration
FLASH,PROM_ID,0000801C,c,ID,$00004189
FLASH,KE_SERVICE_CALIBRATION,00008020,c,Boolean,$0000418B
CIC,KE_CIC_MEDIUM_RES_REF_FILTER,00008021,c,microseconds,$00004195
ETAS,KE_ETAS_PRESENCE_PATTERN,00008022,1,CARDINAL,Special calibration location written to by ETAS when ETAS instrumentation is hooked up.
ETAS,KE_ETAS_PAD_BYTE_1,00008024,c,Byte,ETAS Pad Byte is used to place slew cals on the proper byte boundry. Changing it's value does nothing.
ETAS,KE_ETAS_PAD_BYTE_2,00008025,c,Byte,ETAS Pad Byte is used to place slew cals on the proper byte boundry. Changing it's value does nothing.
ETAS,KE_ETAS_PAD_BYTE_3,00008026,c,Byte,ETAS Pad Byte is used to place slew cals on the proper byte boundry. Changing it's value does nothing.
ETAS,KE_ETAS_DATA_ACQUIRE_RATE_GROUP,00008027,c,Group,$00004383
ETAS,KE_ETAS_SLEW_CCP_MODE,00008028,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_CCP_ABS,0000802A,c,Percent,$00004384
ETAS,KE_ETAS_SLEW_CCP_MOD,0000802C,c,Percent,This cal is modifiable at runtime when using ETAS instrumentation and is added to a variables contents when in Modify mode.
ETAS,KE_ETAS_SLEW_EQVR_MODE,0000802E,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_EQVR_ABS,00008030,c,Equiv_Ratio,$00004385
ETAS,KE_ETAS_SLEW_EQVR_MOD,00008032,c,Equiv_Ratio,This cal is modifiable at runtime when using ETAS instrumentation and is added to a variables contents when in Modify mode.
ETAS,KE_ETAS_SLEW_EGR_MODE,00008034,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_EGR_ABS,00008036,c,Percent,$00004386
ETAS,KE_ETAS_SLEW_EGR_MOD,00008038,c,Percent,This cal is modifiable at runtime when using ETAS instrumentation and is added to a variables contents when in Modify mode.
ETAS,KE_ETAS_SLEW_FANHZ_MODE,0000803A,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_FANHZ_ABS,0000803C,c,Hertz,$00004387
ETAS,KE_ETAS_SLEW_FANHZ_MOD,0000803E,c,Hertz,This cal is modifiable at runtime when using ETAS instrumentation and is added to a variables contents when in Modify mode.
ETAS,KE_ETAS_SLEW_FFS_HZ_MODE,00008040,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_FFS_HZ_ABS,00008042,c,Hertz,$00004388
ETAS,KE_ETAS_SLEW_FFS_HZ_MOD,00008044,c,Hertz,This cal is modifiable at runtime when using ETAS instrumentation and is added to a variables contents when in Modify mode.
ETAS,KE_ETAS_SLEW_FFS_LOW_TIME_MODE,00008046,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_FFS_LOW_TIME_ABS,00008048,c,Milliseconds,$00004389
ETAS,KE_ETAS_SLEW_FFS_LOW_TIME_MOD,0000804A,c,Milliseconds,This cal is modifiable at runtime when using ETAS instrumentation and is added to a variables contents when in Modify mode.
ETAS,KE_ETAS_SLEW_FUEL_ECON_MODE,0000804C,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_FUEL_ECON_SIGN,0000804D,c,Slew_Signs,$0000438A
